Package	Version	Built
Seurat	5.5.1	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 20:09:17 UTC; unix
SeuratObject	5.4.0	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 20:05:03 UTC; unix
shinytest2	0.5.1	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 19:31:35 UTC; unix
SingleCellExperiment	1.34.0	R 4.6.1; ; 2026-09-13 18:36:51 UTC; unix
sitmo	2.0.2	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 17:58:17 UTC; unix
slingshot	2.20.0	R 4.6.1; ; 2026-09-13 20:54:11 UTC; unix
SoupX	1.6.2	R 4.6.1; ; 2026-09-14 13:57:08 UTC; unix
sp	2.2-3	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 17:29:22 UTC; unix
spam	2.11-4	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 17:58:33 UTC; unix
SparseArray	1.12.2	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 18:30:49 UTC; unix
sparseMatrixStats	1.24.0	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 18:25:35 UTC; unix
spatstat.data	3.1-9	R 4.6.1; ; 2026-09-13 17:36:39 UTC; unix
spatstat.explore	3.8-2	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 17:37:39 UTC; unix
spatstat.geom	3.8-2	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 17:38:05 UTC; unix
spatstat.random	3.5-1	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 17:37:21 UTC; unix
spatstat.sparse	3.2-0	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 17:36:47 UTC; unix
spatstat.univar	3.2-0	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 17:36:43 UTC; unix
spatstat.utils	3.2-5	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 17:36:33 UTC; unix
statmod	1.5.2	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 18:10:28 UTC; unix
stringr	1.6.0	R 4.6.1; ; 2026-09-13 19:44:20 UTC; unix
SummarizedExperiment	1.42.0	R 4.6.1; ; 2026-09-13 18:34:46 UTC; unix
synchronicity	1.3.10	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 19:25:15 UTC; unix
sys	3.4.3	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 17:30:05 UTC; unix
systemfonts	1.3.2	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 19:10:19 UTC; unix
tensor	1.5.1	R 4.6.1; ; 2026-09-13 17:36:32 UTC; unix
testthat	3.3.2	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 19:30:46 UTC; unix
textshaping	1.0.5	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 19:16:05 UTC; unix
tibble	3.3.1	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 19:44:23 UTC; unix
tidydr	0.0.6	R 4.6.1; ; 2026-09-21 17:17:09 UTC; unix
